"date","open","high","low","close","volume","oi"
01/06/2014,182075,182125,182050,182075,2547000,1
01/06/2014,182075,182100,182075,182100,3302000,1
01/06/2014,182100,182125,182050,182075,6743000,1
01/06/2014,182050,182050,182050,182050,404000,1
01/06/2014,182050,182050,182050,182050,6000,0
01/06/2014,182025,182025,182000,182025,1404000,0
01/06/2014,182025,182025,182000,182000,109000,0
01/06/2014,182000,182025,182000,182000,89000,0
01/06/2014,182025,182025,182000,182000,69000,0
01/06/2014,182000,182025,182000,182000,86000,0
01/06/2014,182025,182025,182000,182025,47000,0
01/06/2014,182025,182025,182000,182025,228000,0
01/06/2014,182025,182025,182000,182025,1470000,0
01/06/2014,182025,182025,182000,182025,81000,0
01/06/2014,182025,182025,182000,182025,132000,0
01/06/2014,182025,182025,182000,182000,505000,0
01/06/2014,182000,182025,182000,182025,52000,0
01/06/2014,182025,182025,181950,181950,1346000,0
01/06/2014,181950,181975,181925,181950,615000,0
01/06/2014,181950,182025,181950,182025,314000,0
01/06/2014,182025,182025,182000,182025,123000,0
01/06/2014,182025,182025,182025,182025,1000,1
01/06/2014,182000,182000,182000,182000,228000,1
01/06/2014,182000,182000,181975,182000,30000,1
01/06/2014,182000,182000,181975,181975,65000,1
01/06/2014,181975,182000,181975,181975,156000,1
01/06/2014,181975,182000,181975,182000,161000,1
01/06/2014,182000,182000,181975,182000,14000,1
01/06/2014,182000,182000,181975,181975,7000,1
01/06/2014,181975,181975,181950,181950,297000,1
01/06/2014,181950,181975,181950,181975,189000,1
01/06/2014,181975,181975,181950,181975,138000,1
01/06/2014,181975,181975,181950,181950,648000,1
01/06/2014,181950,181975,181950,181950,14000,1
01/06/2014,181950,181975,181950,181975,171000,1
01/06/2014,181975,181975,181950,181950,71000,1
01/06/2014,181950,181950,181950,181950,142000,1
01/06/2014,181975,181975,181950,181950,14000,1
01/06/2014,181950,181975,181950,181975,9000,1
01/06/2014,181975,181975,181950,181975,148000,1
01/06/2014,182000,182000,181975,182000,80000,1
01/06/2014,182000,182000,182000,182000,9000,1
01/06/2014,181975,182000,181975,181975,125000,1
01/06/2014,181975,182000,181975,182000,28000,1
01/06/2014,182000,182025,182000,182000,578000,1
01/06/2014,182025,182025,182000,182000,129000,1
01/06/2014,182000,182000,181975,181975,9000,1
01/06/2014,182000,182000,181975,181975,943000,1
01/06/2014,181975,181975,181975,181975,0,1
01/06/2014,182350,182350,182350,182350,19000,1
01/07/2014,182350,182350,182350,182350,45000,1
01/07/2014,182350,182350,182350,182350,26000,1
01/07/2014,182375,182375,182375,182375,2000,1
01/07/2014,182350,182350,182350,182350,50000,1
01/07/2014,182325,182325,182325,182325,12000,1
01/07/2014,182350,182350,182350,182350,5000,1
01/07/2014,182325,182325,182325,182325,2000,1
01/07/2014,182325,182325,182300,182300,69000,1
01/07/2014,182300,182325,182300,182325,84000,1
01/07/2014,182325,182375,182325,182350,177000,1
