"date","tstmp","pred_dir","SAR_SIG","RANGE","SAR2SIG","WRANGE","CSAR","CSAR_SIG","port","sig_dur","mtm","sr1","sr2","sr3","lag_sr1","lag_sr2","lag_sr3","fd1","fd2","fd3","open","close"
20130115,1118,1,1,-75,1,-7500,-58.1351453,-1,8,18,-75,0.862790575,0.786001117,0.77895972,0.62596951,0.908432655,0.820605977,0.668128955,0.619702206,0.591189448,100,50
20130115,1119,1,1,50,1,2500,-48.6470366,-1,9,19,-100,0.730049477,0.754398543,0.742589049,0.616960864,0.907637815,0.822309632,-0.622237618,0.524504056,-0.621320139,50,0
20130115,1120,1,1,0,1,0,-41.7282144,-1,10,20,-100,0.893734134,0.770411696,0.744416533,0.773548182,0.908242315,0.835250722,-0.510631647,0.530863228,-0.61573406,50,-50
20130115,1121,0,1,0,2,0,0,0,0,0,0,0.696466426,0.582396276,-0.528257864,0.798468107,0.908950073,0.821341704,-0.577610351,-0.694382706,-0.642803979,50,-50
20130115,1122,1,1,-25,2,-1250,0,0,11,21,-100,0.788283716,0.590356884,0.550475334,0.580101216,0.909777388,0.81549873,-0.51119073,-0.50946101,-0.601139452,100,100
20130115,1123,0,1,75,2,5625,0,0,0,0,0,-0.566981781,-0.511484945,-0.694563059,0.561650057,0.906742162,0.843438675,-0.821891599,-0.732945934,-0.669542212,25,25
20130115,1124,0,2,25,2,1250,24.5368,1,0,0,0,-0.738364692,-0.726346857,-0.786222902,-0.934786495,0.867705035,-0.640290727,-0.73120244,-0.723432107,-0.669873931,50,25
20130115,1125,0,2,0,2,0,39.115544,1,0,0,0,-0.738604731,-0.730690825,-0.786546294,-0.925513779,0.861947455,-0.798390449,-0.744770792,-0.720642249,-0.666217512,50,25
20130115,1126,0,2,50,2,2500,68.075,1,0,0,0,-0.734681656,-0.729166982,-0.784930728,-0.910011093,0.835781099,-0.876819765,-0.768412269,-0.724813539,-0.675307955,25,-50
20130115,1127,0,2,0,2,0,87.78275,1,0,0,0,-0.741716533,-0.740455768,-0.784445055,-0.893877677,0.867882248,-0.894483255,-0.65223248,-0.687368145,-0.657541259,50,-25
20130115,1128,0,2,0,1,0,0,0,0,0,0,-0.745631187,-0.719431131,-0.738660026,-0.880228523,0.899076331,-0.826746899,-0.646556429,-0.664108412,-0.651824823,75,75
20130115,1129,0,2,0,1,0,0,0,0,0,0,-0.747331369,-0.721850187,-0.746357733,-0.887115799,0.898161339,-0.838304285,-0.644610826,-0.654884418,-0.649722435,50,50
20130115,1130,0,2,75,2,5625,74.3574619,1,0,0,0,-0.744260123,-0.730667035,-0.779721068,-0.916459935,0.845228616,-0.901318842,-0.761291457,-0.713082536,-0.673802798,0,0
20130115,1131,0,2,25,2,1250,65.6395888,1,0,0,0,-0.729698975,-0.718644588,-0.781055773,-0.867983751,0.821369408,-0.914527141,-0.72862145,-0.719984429,-0.676562483,0,-25
20130115,1132,0,2,25,2,625,74.3576094,1,0,0,0,-0.73005827,-0.729775244,-0.782130953,-0.867530441,0.828034991,-0.927542445,-0.704963742,-0.70829528,-0.67175227,0,-25
20130115,1133,0,2,0,2,0,80.5997289,1,0,0,0,-0.725333301,-0.735854141,-0.782362974,-0.821458704,0.85242968,-0.924035837,-0.525014873,-0.667911786,-0.663159186,25,50
20130115,1134,0,2,0,2,0,84.8365424,1,0,0,0,-0.722060241,-0.729006718,-0.782595939,-0.836827578,0.84205323,-0.915954076,-0.635035472,-0.687105676,-0.667994951,0,25
20130115,1135,0,2,25,2,1250,81.9943279,1,0,0,0,-0.722515293,-0.718747273,-0.780814999,-0.776602843,0.825973748,-0.901473811,-0.521810977,-0.709120834,-0.675478153,-25,-50
20130115,1136,0,2,-50,1,-2500,0,0,0,0,0,-0.730046178,-0.708561342,-0.712991172,-0.841642398,0.888261819,-0.917797467,-0.552285394,-0.595178606,-0.646080384,25,-25
20130115,1137,0,2,0,1,0,0,0,0,0,0,-0.731849283,-0.714773845,-0.739978232,-0.802905142,0.893186601,-0.867644211,-0.518342805,-0.639845984,-0.658483714,25,50
20130115,1138,0,2,-25,1,-1250,0,0,0,0,0,-0.739550162,-0.722167374,-0.668330855,-0.798315708,0.906615303,-0.839279246,0.524900083,0.568080046,-0.610377836,50,75
20130115,1139,0,2,50,1,3750,0,0,0,0,0,-0.755011554,-0.735142441,-0.752578226,-0.922968558,0.898910752,-0.78318745,-0.779258633,-0.705318004,-0.666409322,-25,0
20130115,1140,0,2,0,2,0,15.2187687,1,0,0,0,-0.735525023,-0.750398322,-0.788462075,-0.8557952,0.865241676,-0.909753457,-0.67287226,-0.718785878,-0.674000287,-25,-25
20130115,1141,0,2,-25,2,-1250,10.3056426,1,0,0,0,-0.732976387,-0.751002409,-0.785294108,-0.804455818,0.868689368,-0.920927672,-0.704626267,-0.710308515,-0.670944053,-25,-25
